"産　業　分　類","事業所数","従業者合計（A＋B＋C＋D）_計","従業者合計（A＋B＋C＋D）_男","従業者合計（A＋B＋C＋D）_女","個人事業主及び無給家族従業者（A）　_男","個人事業主及び無給家族従業者（A）　_女","常用労働者_雇用者_正社員・正職員（B）_男","常用労働者_雇用者_正社員・正職員（B）_女","常用労働者_雇用者_ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等（C）_男","常用労働者_雇用者_ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等（C）_女","常用労働者_出向・派遣受入者（D）_男","常用労働者_出向・派遣受入者（D）_女","臨時雇用者_男","臨時雇用者_女"
"総　　　数","1829.0","50141.0","33859.0","16282.0","350.0","174.0","29117.0","7061.0","3025.0","8429.0","1367.0","618.0","269.0","397.0"
"総　　　数_会社","1473.0","47350.0","32570.0","14780.0","-","-","28442.0","6702.0","2785.0","7469.0","1343.0","609.0","229.0","353.0"
"総　　　数_組合・その他の法人","30.0","434.0","261.0","173.0","-","-","175.0","53.0","78.0","119.0","8.0","1.0","11.0","7.0"
"総　　　数_個人","326.0","2357.0","1028.0","1329.0","350.0","174.0","500.0","306.0","162.0","841.0","16.0","8.0","29.0","37.0"
"09_食料","408.0","9019.0","3520.0","5499.0","129.0","56.0","2508.0","1739.0","852.0","3640.0","31.0","64.0","131.0","270.0"
"09_食料_会社","287.0","8008.0","3134.0","4874.0","-","-","2368.0","1611.0","749.0","3205.0","17.0","58.0","107.0","235.0"
"09_食料_組合・その他の法人","11.0","199.0","92.0","107.0","-","-","36.0","18.0","49.0","88.0","7.0","1.0","3.0","6.0"
"09_食料_個人","110.0","812.0","294.0","518.0","129.0","56.0","104.0","110.0","54.0","347.0","7.0","5.0","21.0","29.0"
"10_飲料","31.0","1312.0","979.0","333.0","2.0","1.0","833.0","169.0","133.0","161.0","11.0","2.0","9.0","44.0"
"10_飲料_会社","27.0","1285.0","968.0","317.0","-","-","825.0","162.0","132.0","153.0","11.0","2.0","5.0","44.0"
"10_飲料_組合・その他の法人","2.0","18.0","8.0","10.0","-","-","7.0","6.0","1.0","4.0","-","-","4.0","-"
"10_飲料_個人","2.0","9.0","3.0","6.0","2.0","1.0","1.0","1.0","-","4.0","-","-","-","-"
"11_繊維","268.0","4468.0","2232.0","2236.0","67.0","46.0","1948.0","1080.0","200.0","1101.0","17.0","9.0","7.0","6.0"
"11_繊維_会社","199.0","3947.0","2072.0","1875.0","-","-","1885.0","998.0","171.0","868.0","16.0","9.0","2.0","3.0"
"11_繊維_組合・その他の法人","2.0","10.0","8.0","2.0","-","-","5.0","-","3.0","2.0","-","-","3.0","1.0"
"11_繊維_個人","67.0","511.0","152.0","359.0","67.0","46.0","58.0","82.0","26.0","231.0","1.0","-","2.0","2.0"
"12_木材","95.0","1328.0","1044.0","284.0","19.0","5.0","898.0","181.0","95.0","95.0","32.0","3.0","4.0","-"
"12_木材_会社","74.0","1179.0","925.0","254.0","-","-","820.0","164.0","73.0","87.0","32.0","3.0","4.0","-"
"12_木材_組合・その他の法人","3.0","34.0","31.0","3.0","-","-","30.0","2.0","1.0","1.0","-","-","-","-"
"12_木材_個人","18.0","115.0","88.0","27.0","19.0","5.0","48.0","15.0","21.0","7.0","-","-","-","-"
"13_家具","100.0","1271.0","896.0","375.0","29.0","15.0","746.0","145.0","108.0","213.0","13.0","2.0","18.0","2.0"
"13_家具_会社","72.0","1098.0","770.0","328.0","-","-","668.0","131.0","89.0","195.0","13.0","2.0","17.0","1.0"
