"品目番号","品　　　　目　　　　名","産      出事業所数","製造品出荷額等　　（万円）","品目番号"
"総　計","総　　　　計","3580.0","299496984.0","総　計"
"09　食料","09　食料品製造業","628.0","14102741.0","09　食料"
"91111","部分肉、冷凍肉（ブロイラーを除く）","7.0","1089369.0","91111.0"
"91212","肉製品","1.0","χ","91212.0"
"91311","処理牛乳","1.0","χ","91311.0"
"91312","乳飲料、乳酸菌飲料","1.0","χ","91312.0"
"91414","アイスクリーム","2.0","χ","91414.0"
"91911","ブロイラー加工品（解体品を含む）","4.0","135410.0","91911.0"
"91919","他に分類されない畜産食料品","3.0","80813.0","91919.0"
"92212","海藻加工品","4.0","123887.0","92212.0"
"92311","魚肉ハム・ソーセージ（鯨肉製を含む）","1.0","χ","92311.0"
"92312","その他の水産練製品","14.0","179239.0","92312.0"
"92411","塩干・塩蔵品","29.0","119288.0","92411.0"
"92491","塩干・塩蔵品（賃加工）","2.0","χ","92491.0"
"92511","冷凍水産物","2.0","χ","92511.0"
"92591","冷凍水産物（賃加工）","2.0","χ","92591.0"
"92611","冷凍水産食品","3.0","20354.0","92611.0"
"92911","素干・煮干","36.0","576866.0","92911.0"
"92919","他に分類されない水産食料品","31.0","1164619.0","92919.0"
"92921","水産食料品副産物","2.0","χ","92921.0"
"92991","その他の水産食料品（賃加工）","2.0","χ","92991.0"
"93111","野菜缶詰（瓶詰・つぼ詰を含む）","2.0","χ","93111.0"
"93112","果実缶詰（瓶詰・つぼ詰を含む）","5.0","83676.0","93112.0"
"93119","その他の缶詰（瓶詰・つぼ詰を含む）","2.0","χ","93119.0"
"93129","その他の農産保存食料品","22.0","422845.0","93129.0"
"93191","野菜缶詰・果実缶詰・農産保存食料品（賃加工）","3.0","25017.0","93191.0"
"93211","野菜漬物（果実漬物を含む）","125.0","4439555.0","93211.0"
"93291","野菜漬物（賃加工）","17.0","26194.0","93291.0"
"94111","味そ（粉味そを含む）","11.0","18503.0","94111.0"
"94191","味そ（賃加工）","1.0","χ","94191.0"
"94211","しょう油、食用アミノ酸（粉しょう油、固形しょう油を含む）","9.0","68524.0","94211.0"
"94291","しょう油・食用アミノ酸（賃加工）","1.0","χ","94291.0"
"94311","ウスター・中濃・濃厚ソース","2.0","χ","94311.0"
"94319","その他のソース類","2.0","χ","94319.0"
"94411","食酢","7.0","49299.0","94411.0"
"94491","食酢（賃加工）","1.0","χ","94491.0"
"94912","ルウ類","1.0","χ","94912.0"
"94919","他に分類されない調味料","16.0","185798.0","94919.0"
"94991","その他の調味料（賃加工）","3.0","6962.0","94991.0"
"96111","精米（砕精米を含む）","1.0","χ","96111.0"
"96113","精米・精麦かす","1.0","χ","96113.0"
"96191","精米・精麦（賃加工）","1.0","χ","96191.0"
"97111","食パン","8.0","24444.0","97111.0"
"97112","菓子パン（イーストドーナッツを含む）","12.0","53489.0","97112.0"
"97191","パン（賃加工）","6.0","7951.0","97191.0"
"97211","洋生菓子","16.0","345193.0","97211.0"
"97212","和生菓子","27.0","99953.0","97212.0"
"97291","生菓子（賃加工）","3.0","27239.0","97291.0"
"97311","ビスケット類、干菓子","14.0","83371.0","97311.0"
"97411","米菓","2.0","χ","97411.0"
"97491","米菓（賃加工）","1.0","χ","97491.0"
"97911","あめ菓子","5.0","103947.0","97911.0"
"97912","チョコレート類","1.0","χ","97912.0"
"97919","他に分類されない菓子","2.0","χ","97919.0"
"97991","その他のパン・菓子（賃加工）","1.0","χ","97991.0"
"98113","植物油搾かす","1.0","χ","98113.0"
"98129","その他の動植物油脂","2.0","χ","98129.0"
"99212","和風めん","13.0","232799.0","99212.0"
"99214","中華めん","9.0","38847.0","99214.0"
"99311","豆腐、しみ豆腐、油揚げ類","15.0","138521.0","99311.0"
"99411","あん類","3.0","21967.0","99411.0"
"99491","あん類（賃加工）","1.0","χ","99491.0"
"99511","冷凍調理食品","9.0","358727.0","99511.0"
"99591","冷凍調理食品（賃加工）","1.0","χ","99591.0"
"99611","そう（惣）菜","15.0","544100.0","99611.0"
"99711","すし、弁当、おにぎり","13.0","743009.0","99711.0"
"99712","調理パン、サンドイッチ","4.0","1761.0","99712.0"
"99791","すし・弁当・調理パン（賃加工）","2.0","χ","99791.0"
"99811","レトルト食品","4.0","184346.0","99811.0"
"99919","その他の酵母剤","2.0","χ","99919.0"
"99921","こうじ、種こうじ、麦芽","4.0","954.0","99921.0"
"99933","切餅、包装餅（和生菓子を除く）","2.0","χ","99933.0"
"99934","栄養補助食品（錠剤、カプセル等の形状のもの）","3.0","47897.0","99934.0"
"99939","その他の製造食料品","38.0","940368.0","99939.0"
"99991","他に分類されない食料品（賃加工）","9.0","330070.0","99991.0"
"","","","",""
"10　飲料","10　飲料・たばこ・飼料製造業","88.0","5499076.0","10　飲料"
"101111","炭酸飲料","1.0","χ","101111.0"
"101112","ジュース","11.0","2393934.0","101112.0"
"101113","コーヒー飲料（ミルク入りを含む）","3.0","94935.0","101113.0"
"101114","茶系飲料","6.0","1696316.0","101114.0"
"101115","ミネラルウォーター","1.0","χ","101115.0"
"101119","その他の清涼飲料","7.0","37941.0","101119.0"
"101191","清涼飲料（賃加工）","11.0","614016.0","101191.0"
"102111","果実酒","1.0","χ","102111.0"
"102211","ビール","1.0","χ","102211.0"
"102311","清酒（濁酒を含む）","9.0","187913.0","102311.0"
"102312","清酒かす","7.0","4019.0","102312.0"
"102412","焼ちゅう","2.0","χ","102412.0"
"102415","味りん（本直しを含む）","1.0","χ","102415.0"
"102419","その他の蒸留酒・混成酒","12.0","185402.0","102419.0"
"102491","蒸留酒・混成酒（賃加工）","5.0","46407.0","102491.0"
"103112","緑茶（仕上茶）","2.0","χ","103112.0"
"104111","人造氷","2.0","χ","104111.0"
"106112","ペット用飼料","1.0","χ","106112.0"
